"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $","TOTAL","NOT SPECIFIED","909,083,000","24.0"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE","TOTAL","NOT SPECIFIED","5,163","8.0"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","1,034,225","24.0"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","TOTAL","NOT SPECIFIED","879","19.3"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (1,000,000 TO 1,999,999 $)","90","37.3"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (10,000,000 OR MORE $)","10","46.7"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (100,000 TO 199,999 $)","147","53.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (2,000,000 TO 4,999,999 $)","57","32.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (200,000 TO 499,999 $)","291","33.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (5,000,000 TO 9,999,999 $)","39","46.2"
